sender	patientType	scenario	demand
s089	n	n18	8
s089	c	n19	0
s089	n	n19	8
s089	c	n20	0
s089	n	n20	8
s089	c	n21	0
s089	n	n21	8
s089	c	n22	0
s089	n	n22	8
s089	c	n23	0
s089	n	n23	8
s089	c	n24	0
s089	n	n24	8
s089	c	n25	0
s089	n	n25	8
s090	c	n08	0
s090	n	n08	6
s090	c	n09	0
s090	n	n09	6
s090	c	n10	0
s090	n	n10	6
s090	c	n11	0
s090	n	n11	6
s090	c	n12	0
s090	n	n12	6
s090	c	n13	0
s090	n	n13	6
s090	c	n14	0
s090	n	n14	6
s090	c	n15	0
s090	n	n15	6
s090	c	n16	0
s090	n	n16	6
s091	c	n08	0
s091	n	n08	10
s091	c	n09	0
s091	n	n09	10
s091	c	n10	0
s091	n	n10	10
s091	c	n11	0
s091	n	n11	10
s091	c	n12	0
s091	n	n12	10
s091	c	n13	0
s091	n	n13	10
s091	c	n14	0
s091	n	n14	10
s091	c	n15	0
s091	n	n15	10
s091	c	n16	0
s091	n	n16	10
s092	c	n11	0
s092	n	n11	74
s092	c	n12	0
s092	n	n12	74
s092	c	n13	0
s092	n	n13	74
s092	c	n14	0
s092	n	n14	74
s092	c	n15	0
s092	n	n15	74
s092	c	n16	0
s092	n	n16	74
s094	c	n06	0
s094	n	n06	10
s094	c	n07	0
s094	n	n07	10
s094	c	n08	0
s094	n	n08	10
s094	c	n09	0
s094	n	n09	10
s094	c	n10	0
s094	n	n10	10
s094	c	n11	0
s094	n	n11	10
s094	c	n12	0
s094	n	n12	10
s094	c	n13	0
s094	n	n13	10
s094	c	n14	0
s094	n	n14	10
s094	c	n15	0
s094	n	n15	10
s094	c	n16	0
s094	n	n16	10
s095	c	n03	0
s095	n	n03	6
s095	c	n04	0
s095	n	n04	6
s095	c	n05	0
s095	n	n05	6
s095	c	n06	0
s095	n	n06	6
s095	c	n07	0
s095	n	n07	6
s095	c	n08	0
s095	n	n08	6
s095	c	n09	0
s095	n	n09	6
s095	c	n10	0
s095	n	n10	6
s095	c	n11	0
s095	n	n11	6
s095	c	n12	0
s095	n	n12	6
s095	c	n13	0
s095	n	n13	6
s095	c	n14	0
s095	n	n14	6
s095	c	n15	0
s095	n	n15	6
s095	c	n16	0
s095	n	n16	6
s095	c	n18	0
s095	n	n18	6
s095	c	n19	0
s095	n	n19	6
s095	c	n20	0
s095	n	n20	6
s095	c	n21	0
s095	n	n21	6
s096	c	n06	0
s096	n	n06	118
s096	c	n07	0
s096	n	n07	118
s096	c	n08	0
s096	n	n08	118
s096	c	n09	0
s096	n	n09	118
s096	c	n10	0
s096	n	n10	118
s096	c	n11	0
s096	n	n11	118
s096	c	n12	0
s096	n	n12	118
s096	c	n13	0
s096	n	n13	118
s096	c	n14	0
s096	n	n14	118
s096	c	n15	0
s096	n	n15	118
s097	c	n03	0
s097	n	n03	6
s097	c	n04	0
s097	n	n04	6
s097	c	n05	0
s097	n	n05	6
s097	c	n06	0
s097	n	n06	6
s097	c	n07	0
s097	n	n07	6
s097	c	n08	0
s097	n	n08	6
s097	c	n09	0
s097	n	n09	6
s097	c	n10	0
s097	n	n10	6
s097	c	n11	0
s097	n	n11	6
s097	c	n12	0
s097	n	n12	6
s097	c	n13	0
s097	n	n13	6
s097	c	n14	0
s097	n	n14	6
s097	c	n15	0
s097	n	n15	6
s097	c	n16	0
s097	n	n16	6
s097	c	n19	0
s097	n	n19	6
s097	c	n20	0
s097	n	n20	6
s098	c	n01	0
s098	n	n01	76
s098	c	n02	0
s098	n	n02	76
s098	c	n03	0
s098	n	n03	76
s098	c	n04	0
s098	n	n04	76
s098	c	n05	0
s098	n	n05	76
s098	c	n06	0
s098	n	n06	76
s098	c	n07	0
s098	n	n07	76
s098	c	n16	0
s098	n	n16	76
s098	c	n24	0
s098	n	n24	76
s098	c	n25	0
s098	n	n25	76
s099	c	n04	0
s099	n	n04	4
s099	c	n05	0
s099	n	n05	4
s099	c	n06	0
s099	n	n06	4
s099	c	n07	0
s099	n	n07	4
s099	c	n08	0
s099	n	n08	4
s099	c	n09	0
s099	n	n09	4
s099	c	n10	0
s099	n	n10	4
s099	c	n11	0
s099	n	n11	4
s099	c	n12	0
s099	n	n12	4
s099	c	n13	0
s099	n	n13	4
s099	c	n14	0
s099	n	n14	4
s099	c	n15	0
s099	n	n15	4
s099	c	n16	0
s099	n	n16	4
s099	c	n17	0
s099	n	n17	4
s099	c	n18	0
s099	n	n18	4
s099	c	n19	0
s099	n	n19	4
s099	c	n20	0
s099	n	n20	4
s099	c	n21	0
s099	n	n21	4
s099	c	n25	0
s099	n	n25	4
s100	c	n06	0
s100	n	n06	6
s100	c	n07	0
s100	n	n07	6
s100	c	n08	0
s100	n	n08	6
s100	c	n09	0
s100	n	n09	6
s100	c	n10	0
s100	n	n10	6
s100	c	n11	0
s100	n	n11	6
s100	c	n12	0
s100	n	n12	6
s100	c	n13	0
s100	n	n13	6
s100	c	n14	0
s100	n	n14	6
s100	c	n15	0
s100	n	n15	6
s100	c	n16	0
s100	n	n16	6
s100	c	n17	0
s100	n	n17	6
s100	c	n18	0
s100	n	n18	6
s100	c	n19	0
s100	n	n19	6
s100	c	n20	0
s100	n	n20	6
s101	c	n14	0
s101	n	n14	8
s101	c	n15	0
s101	n	n15	8
s102	c	n06	0
s102	n	n06	6
s102	c	n07	0
s102	n	n07	6
s102	c	n08	0
s102	n	n08	6
s102	c	n09	0
s102	n	n09	6
s102	c	n10	0
s102	n	n10	6
s102	c	n11	0
s102	n	n11	6
s102	c	n12	0
s102	n	n12	6
s102	c	n13	0
s102	n	n13	6
s102	c	n14	0
s102	n	n14	6
s102	c	n15	0
s102	n	n15	6
s102	c	n16	0
s102	n	n16	6
s103	c	n06	0
s103	n	n06	10
s103	c	n07	0
s103	n	n07	10
s103	c	n08	0
s103	n	n08	10
s103	c	n09	0
s103	n	n09	10
s103	c	n10	0
s103	n	n10	10
s103	c	n11	0
s103	n	n11	10
s103	c	n12	0
s103	n	n12	10
s103	c	n13	0
s103	n	n13	10
s103	c	n14	0
s103	n	n14	10
s103	c	n15	0
s103	n	n15	10
s103	c	n16	0
s103	n	n16	10
s104	c	n03	0
s104	n	n03	4
s104	c	n04	0
s104	n	n04	4
s104	c	n05	0
s104	n	n05	4
s104	c	n06	0
s104	n	n06	4
s104	c	n07	0
s104	n	n07	4
s104	c	n08	0
s104	n	n08	4
s104	c	n09	0
s104	n	n09	4
s104	c	n10	0
s104	n	n10	4
s104	c	n11	0
s104	n	n11	4
s104	c	n12	0
s104	n	n12	4
s104	c	n13	0
s104	n	n13	4
s104	c	n14	0
s104	n	n14	4
s104	c	n15	0
s104	n	n15	4
s104	c	n16	0
s104	n	n16	4
s104	c	n20	0
s104	n	n20	4
s105	c	n13	0
s105	n	n13	10
s105	c	n14	0
s105	n	n14	10
s105	c	n15	0
s105	n	n15	10
s105	c	n16	0
s105	n	n16	10
s105	c	n17	0
s105	n	n17	10
s105	c	n18	0
s105	n	n18	10
s105	c	n19	0
s105	n	n19	10
s105	c	n20	0
s105	n	n20	10
s105	c	n21	0
s105	n	n21	10
s105	c	n22	0
s105	n	n22	10
s105	c	n23	0
s105	n	n23	10
s106	c	n06	0
s106	n	n06	84
s106	c	n07	0
s106	n	n07	84
s106	c	n08	0
s106	n	n08	84
s106	c	n09	0
s106	n	n09	84
s106	c	n10	0
s106	n	n10	84
s106	c	n11	0
s106	n	n11	84
s106	c	n12	0
s106	n	n12	84
s106	c	n13	0
s106	n	n13	84
s106	c	n14	0
s106	n	n14	84
s106	c	n15	0
s106	n	n15	84
s106	c	n16	0
s106	n	n16	84
s108	c	n04	0
s108	n	n04	81
s108	c	n05	0
s108	n	n05	81
s108	c	n06	0
s108	n	n06	81
s108	c	n07	0
s108	n	n07	81
s108	c	n08	0
s108	n	n08	81
s108	c	n09	0
s108	n	n09	81
s108	c	n10	0
s108	n	n10	81
s108	c	n11	0
s108	n	n11	81
s108	c	n12	0
s108	n	n12	81
s108	c	n13	0
s108	n	n13	81
s108	c	n14	0
s108	n	n14	81
s108	c	n15	0
s108	n	n15	81
s108	c	n16	0
s108	n	n16	81
s109	c	n16	0
s109	n	n16	66
s110	c	n08	0
s110	n	n08	10
s110	c	n09	0
s110	n	n09	10
s110	c	n10	0
s110	n	n10	10
s110	c	n11	0
s110	n	n11	10
s110	c	n12	0
s110	n	n12	10
s111	c	n15	0
s111	n	n15	5
s112	c	n11	0
s112	n	n11	40
s112	c	n12	0
s112	n	n12	40
s112	c	n13	0
s112	n	n13	40
s112	c	n14	0
s112	n	n14	40
s112	c	n15	0
s112	n	n15	40
s112	c	n16	0
s112	n	n16	40
s112	c	n17	0
s112	n	n17	40
s112	c	n18	0
s112	n	n18	40
s112	c	n19	0
s112	n	n19	40
s112	c	n25	0
s112	n	n25	40
s114	c	n14	0
s114	n	n14	76
s114	c	n15	0
s114	n	n15	76
s114	c	n16	0
s114	n	n16	76
s117	c	n04	0
s117	n	n04	100
s117	c	n05	0
s117	n	n05	100
s117	c	n06	0
s117	n	n06	100
s117	c	n07	0
s117	n	n07	100
s117	c	n08	0
s117	n	n08	100
s117	c	n09	0
s117	n	n09	100
s117	c	n10	0
s117	n	n10	100
s117	c	n11	0
s117	n	n11	100
s117	c	n12	0
s117	n	n12	100
s117	c	n13	0
s117	n	n13	100
s117	c	n14	0
s117	n	n14	100
s117	c	n15	0
s117	n	n15	100
s117	c	n16	0
s117	n	n16	100
s118	c	n06	0
s118	n	n06	8
s118	c	n07	0
s118	n	n07	8
s118	c	n08	0
s118	n	n08	8
s118	c	n09	0
s118	n	n09	8
s118	c	n10	0
s118	n	n10	8
s118	c	n11	0
s118	n	n11	8
s118	c	n12	0
s118	n	n12	8
s118	c	n13	0
s118	n	n13	8
s118	c	n14	0
s118	n	n14	8
s118	c	n15	0
s118	n	n15	8
s118	c	n16	0
s118	n	n16	8
s119	c	n01	0
s119	n	n01	5
s119	c	n02	0
s119	n	n02	5
s119	c	n03	0
s119	n	n03	5
s119	c	n04	0
s119	n	n04	5
s119	c	n05	0
s119	n	n05	5
s119	c	n06	0
s119	n	n06	5
s119	c	n07	0
s119	n	n07	5
s119	c	n08	0
s119	n	n08	5
s119	c	n09	0
s119	n	n09	5
s119	c	n10	0
s119	n	n10	5
s119	c	n11	0
s119	n	n11	5
s119	c	n12	0
s119	n	n12	5
s119	c	n13	0
s119	n	n13	5
s119	c	n14	0
s119	n	n14	5
s119	c	n15	0
s119	n	n15	5
s119	c	n16	0
s119	n	n16	5
s119	c	n17	0
s119	n	n17	5
s119	c	n18	0
s119	n	n18	5
s119	c	n19	0
s119	n	n19	5
s119	c	n20	0
s119	n	n20	5
s119	c	n21	0
s119	n	n21	5
s119	c	n22	0
s119	n	n22	5
s119	c	n23	0
s119	n	n23	5
s119	c	n24	0
s119	n	n24	5
s119	c	n25	0
s119	n	n25	5
s120	c	n06	0
s120	n	n06	127
s120	c	n07	0
s120	n	n07	127
s120	c	n08	0
s120	n	n08	127
s120	c	n09	0
s120	n	n09	127
s120	c	n10	0
s120	n	n10	127
s120	c	n11	0
s120	n	n11	127
s120	c	n12	0
s120	n	n12	127
s120	c	n13	0
s120	n	n13	127
s120	c	n14	0
s120	n	n14	127
s120	c	n15	0
s120	n	n15	127
s120	c	n16	0
s120	n	n16	127
s121	c	n11	0
s121	n	n11	81
s121	c	n12	0
s121	n	n12	81
s121	c	n13	0
s121	n	n13	81
s122	c	n09	0
s122	n	n09	16
s122	c	n10	0
s122	n	n10	16
s122	c	n11	0
s122	n	n11	16
s122	c	n12	0
s122	n	n12	16
s122	c	n13	0
s122	n	n13	16
s122	c	n14	0
s122	n	n14	16
s122	c	n15	0
s122	n	n15	16
s122	c	n16	0
s122	n	n16	16
s122	c	n17	0
s122	n	n17	16
s122	c	n18	0
s122	n	n18	16
s122	c	n19	0
s122	n	n19	16
s122	c	n20	0
s122	n	n20	16
s122	c	n21	0
s122	n	n21	16
s122	c	n22	0
s122	n	n22	16
s122	c	n23	0
s122	n	n23	16
s122	c	n24	0
s122	n	n24	16
s122	c	n25	0
s122	n	n25	16
s123	c	n06	0
s123	n	n06	10
s123	c	n07	0
s123	n	n07	10
s123	c	n08	0
s123	n	n08	10
s123	c	n09	0
s123	n	n09	10
s123	c	n10	0
s123	n	n10	10
s123	c	n11	0
s123	n	n11	10
s123	c	n12	0
s123	n	n12	10
s123	c	n13	0
s123	n	n13	10
s123	c	n14	0
s123	n	n14	10
s123	c	n15	0
s123	n	n15	10
s123	c	n16	0
s123	n	n16	10
s124	c	n06	0
s124	n	n06	43
s124	c	n07	0
s124	n	n07	43
s124	c	n08	0
s124	n	n08	43
s124	c	n09	0
s124	n	n09	43
s124	c	n10	0
s124	n	n10	43
s124	c	n11	0
s124	n	n11	43
s124	c	n12	0
s124	n	n12	43
s124	c	n13	0
s124	n	n13	43
s124	c	n14	0
s124	n	n14	43
s124	c	n15	0
s124	n	n15	43
s124	c	n16	0
s124	n	n16	43
s127	c	n06	0
s127	n	n06	4
s127	c	n07	0
s127	n	n07	4
s127	c	n08	0
s127	n	n08	4
s127	c	n09	0
s127	n	n09	4
s127	c	n10	0
s127	n	n10	4
s127	c	n11	0
s127	n	n11	4
s127	c	n12	0
s127	n	n12	4
s127	c	n13	0
s127	n	n13	4
s127	c	n14	0
s127	n	n14	4
s127	c	n15	0
s127	n	n15	4
s127	c	n16	0
s127	n	n16	4
s130	c	n16	0
s130	n	n16	70
s130	c	n17	0
s130	n	n17	70
s130	c	n18	0
s130	n	n18	70
s131	c	n16	0
s131	n	n16	10
s132	c	n06	0
s132	n	n06	81
s132	c	n07	0
s132	n	n07	81
s132	c	n08	0
s132	n	n08	81
s132	c	n09	0
s132	n	n09	81
s132	c	n10	0
s132	n	n10	81
s132	c	n11	0
s132	n	n11	81
s132	c	n12	0
s132	n	n12	81
s132	c	n13	0
s132	n	n13	81
s133	c	n14	0
s133	n	n14	40
s133	c	n15	0
s133	n	n15	40
s133	c	n16	0
s133	n	n16	40
s134	c	n06	0
s134	n	n06	71
s134	c	n07	0
s134	n	n07	71
s134	c	n08	0
s134	n	n08	71
s134	c	n09	0
s134	n	n09	71
s134	c	n10	0
s134	n	n10	71
s134	c	n11	0
s134	n	n11	71
s134	c	n12	0
s134	n	n12	71
s134	c	n13	0
s134	n	n13	71
s134	c	n14	0
s134	n	n14	71
s134	c	n15	0
s134	n	n15	71
s134	c	n16	0
s134	n	n16	71
s134	c	n17	0
s134	n	n17	71
s134	c	n25	0
s134	n	n25	71
s135	c	n03	0
s135	n	n03	8
s135	c	n04	0
s135	n	n04	8
s135	c	n05	0
s135	n	n05	8
s135	c	n06	0
s135	n	n06	8
s135	c	n07	0
s135	n	n07	8
s135	c	n08	0
s135	n	n08	8
s135	c	n09	0
s135	n	n09	8
s135	c	n10	0
s135	n	n10	8
s135	c	n11	0
s135	n	n11	8
s135	c	n12	0
s135	n	n12	8
s135	c	n13	0
s135	n	n13	8
s135	c	n14	0
s135	n	n14	8
s135	c	n15	0
s135	n	n15	8
s135	c	n16	0
s135	n	n16	8
s135	c	n17	0
s135	n	n17	8
s135	c	n25	0
s135	n	n25	8
s138	c	n08	0
s138	n	n08	76
s138	c	n09	0
s138	n	n09	76
s138	c	n10	0
s138	n	n10	76
s138	c	n11	0
s138	n	n11	76
s138	c	n12	0
s138	n	n12	76
s138	c	n13	0
s138	n	n13	76
s138	c	n14	0
s138	n	n14	76
s138	c	n15	0
s138	n	n15	76
s139	c	n06	0
s139	n	n06	122
s139	c	n07	0
s139	n	n07	122
s139	c	n08	0
s139	n	n08	122
s139	c	n09	0
s139	n	n09	122
s139	c	n10	0
s139	n	n10	122
s139	c	n11	0
s139	n	n11	122
s139	c	n12	0
s139	n	n12	122
s139	c	n13	0
s139	n	n13	122
s139	c	n14	0
s139	n	n14	122
s139	c	n15	0
s139	n	n15	122
s139	c	n16	0
s139	n	n16	122
s139	c	n17	0
s139	n	n17	122
s139	c	n18	0
s139	n	n18	122
s139	c	n19	0
s139	n	n19	122
s139	c	n20	0
s139	n	n20	122
s139	c	n21	0
s139	n	n21	122
s139	c	n22	0
s139	n	n22	122
s139	c	n23	0
s139	n	n23	122
s141	c	n06	0
s141	n	n06	5
s141	c	n07	0
s141	n	n07	5
s141	c	n08	0
s141	n	n08	5
s141	c	n09	0
s141	n	n09	5
s141	c	n10	0
s141	n	n10	5
s141	c	n11	0
s141	n	n11	5
s141	c	n12	0
s141	n	n12	5
s141	c	n13	0
s141	n	n13	5
s141	c	n14	0
s141	n	n14	5
s141	c	n15	0
s141	n	n15	5
s141	c	n16	0
s141	n	n16	5
s141	c	n17	0
s141	n	n17	5
s141	c	n18	0
s141	n	n18	5
s141	c	n19	0
s141	n	n19	5
s142	c	n16	0
s142	n	n16	14
s144	c	n06	0
s144	n	n06	81
s144	c	n07	0
s144	n	n07	81
s144	c	n08	0
s144	n	n08	81
s144	c	n09	0
s144	n	n09	81
s144	c	n10	0
s144	n	n10	81
s144	c	n11	0
s144	n	n11	81
s144	c	n12	0
s144	n	n12	81
s144	c	n13	0
s144	n	n13	81
s144	c	n14	0
s144	n	n14	81
s144	c	n15	0
s144	n	n15	81
s144	c	n16	0
s144	n	n16	81
s145	c	n06	0
s145	n	n06	6
s145	c	n07	0
s145	n	n07	6
s145	c	n08	0
s145	n	n08	6
s145	c	n09	0
s145	n	n09	6
s145	c	n10	0
s145	n	n10	6
s145	c	n11	0
s145	n	n11	6
s145	c	n12	0
s145	n	n12	6
s145	c	n13	0
s145	n	n13	6
s145	c	n14	0
s145	n	n14	6
s145	c	n15	0
s145	n	n15	6
s145	c	n16	0
s145	n	n16	6
s147	c	n06	0
s147	n	n06	8
s147	c	n07	0
s147	n	n07	8
s147	c	n08	0
s147	n	n08	8
s147	c	n09	0
s147	n	n09	8
s147	c	n10	0
s147	n	n10	8
s147	c	n11	0
s147	n	n11	8
s147	c	n12	0
s147	n	n12	8
s147	c	n13	0
s147	n	n13	8
s147	c	n14	0
s147	n	n14	8
s147	c	n15	0
s147	n	n15	8
s147	c	n16	0
s147	n	n16	8
s147	c	n17	0
s147	n	n17	8
s147	c	n18	0
s147	n	n18	8
s147	c	n19	0
s147	n	n19	8
s147	c	n20	0
s147	n	n20	8
s147	c	n21	0
s147	n	n21	8
s149	c	n01	0
s149	n	n01	5
s149	c	n02	0
s149	n	n02	5
s149	c	n03	0
s149	n	n03	5
s149	c	n04	0
s149	n	n04	5
s149	c	n05	0
s149	n	n05	5
s149	c	n06	0
s149	n	n06	5
s149	c	n07	0
s149	n	n07	5
s149	c	n08	0
s149	n	n08	5
s149	c	n09	0
s149	n	n09	5
s149	c	n10	0
s149	n	n10	5
s149	c	n11	0
s149	n	n11	5
s149	c	n12	0
s149	n	n12	5
s149	c	n13	0
s149	n	n13	5
s149	c	n14	0
s149	n	n14	5
s149	c	n15	0
s149	n	n15	5
s149	c	n16	0
s149	n	n16	5
s149	c	n17	0
s149	n	n17	5
s149	c	n18	0
s149	n	n18	5
s149	c	n19	0
s149	n	n19	5
s149	c	n20	0
s149	n	n20	5
s149	c	n21	0
s149	n	n21	5
s149	c	n22	0
s149	n	n22	5
s149	c	n23	0
s149	n	n23	5
s149	c	n24	0
s149	n	n24	5
s149	c	n25	0
s149	n	n25	5
s150	c	n08	0
s150	n	n08	122
s150	c	n09	0
s150	n	n09	122
s150	c	n10	0
s150	n	n10	122
s150	c	n11	0
s150	n	n11	122
s150	c	n12	0
s150	n	n12	122
s150	c	n13	0
s150	n	n13	122
s150	c	n14	0
s150	n	n14	122
s150	c	n15	0
s150	n	n15	122
s153	c	n15	0
s153	n	n15	23
s153	c	n16	0
s153	n	n16	23
s154	c	n06	0
s154	n	n06	10
s154	c	n07	0
s154	n	n07	10
s154	c	n08	0
s154	n	n08	10
s154	c	n09	0
s154	n	n09	10
s154	c	n10	0
s154	n	n10	10
s154	c	n11	0
s154	n	n11	10
s154	c	n12	0
s154	n	n12	10
s154	c	n13	0
s154	n	n13	10
s154	c	n14	0
s154	n	n14	10
s154	c	n15	0
s154	n	n15	10
s154	c	n16	0
s154	n	n16	10
s154	c	n17	0
s154	n	n17	10
s154	c	n18	0
s154	n	n18	10
s154	c	n19	0
s154	n	n19	10
s154	c	n20	0
s154	n	n20	10
s155	c	n06	0
s155	n	n06	7
s155	c	n07	0
s155	n	n07	7
s155	c	n08	0
s155	n	n08	7
s155	c	n09	0
s155	n	n09	7
s155	c	n10	0
s155	n	n10	7
s155	c	n11	0
s155	n	n11	7
s155	c	n12	0
s155	n	n12	7
s155	c	n13	0
s155	n	n13	7
s155	c	n14	0
s155	n	n14	7
s155	c	n15	0
s155	n	n15	7
s155	c	n16	0
s155	n	n16	7
s155	c	n17	0
s155	n	n17	7
s155	c	n18	0
s155	n	n18	7
s155	c	n19	0
s155	n	n19	7
s156	c	n08	0
s156	n	n08	61
s156	c	n09	0
s156	n	n09	61
s156	c	n10	0
s156	n	n10	61
s156	c	n11	0
s156	n	n11	61
s156	c	n12	0
s156	n	n12	61
s156	c	n13	0
s156	n	n13	61
s156	c	n14	0
s156	n	n14	61
s156	c	n15	0
s156	n	n15	61
s156	c	n16	0
s156	n	n16	61
s156	c	n17	0
s156	n	n17	61
s156	c	n18	0
s156	n	n18	61
s156	c	n19	0
s156	n	n19	61
s156	c	n20	0
s156	n	n20	61
s156	c	n21	0
s156	n	n21	61
s156	c	n22	0
s156	n	n22	61
s156	c	n23	0
s156	n	n23	61
s156	c	n24	0
s156	n	n24	61
s156	c	n25	0
s156	n	n25	61
s157	c	n15	0
s157	n	n15	81
s157	c	n16	0
s157	n	n16	81
s158	c	n06	0
s158	n	n06	40
s158	c	n07	0
s158	n	n07	40
s158	c	n08	0
s158	n	n08	40
s158	c	n09	0
s158	n	n09	40
s158	c	n10	0
s158	n	n10	40
s158	c	n11	0
s158	n	n11	40
s158	c	n12	0
s158	n	n12	40
s158	c	n13	0
s158	n	n13	40
s158	c	n14	0
s158	n	n14	40
s158	c	n15	0
s158	n	n15	40
s158	c	n16	0
s158	n	n16	40
s159	c	n08	0
s159	n	n08	136
s159	c	n09	0
s159	n	n09	136
s159	c	n10	0
s159	n	n10	136
s159	c	n11	0
s159	n	n11	136
s159	c	n12	0
s159	n	n12	136
s160	c	n06	0
s160	n	n06	6
s160	c	n07	0
s160	n	n07	6
s160	c	n08	0
s160	n	n08	6
s160	c	n09	0
s160	n	n09	6
s160	c	n10	0
s160	n	n10	6
s160	c	n11	0
s160	n	n11	6
s160	c	n12	0
s160	n	n12	6
s160	c	n13	0
s160	n	n13	6
s160	c	n14	0
s160	n	n14	6
s160	c	n15	0
s160	n	n15	6
s160	c	n16	0
s160	n	n16	6
s160	c	n17	0
s160	n	n17	6
s160	c	n18	0
s160	n	n18	6
s160	c	n19	0
s160	n	n19	6
s160	c	n20	0
s160	n	n20	6
s160	c	n21	0
s160	n	n21	6
s160	c	n25	0
s160	n	n25	6
s161	c	n14	0
s161	n	n14	7
s161	c	n15	0
s161	n	n15	7
s161	c	n16	0
s161	n	n16	7
s161	c	n17	0
s161	n	n17	7
s162	c	n16	0
s162	n	n16	21
s164	c	n06	0
s164	n	n06	5
s164	c	n07	0
s164	n	n07	5
s164	c	n08	0
s164	n	n08	5
s164	c	n09	0
s164	n	n09	5
s164	c	n10	0
s164	n	n10	5
s164	c	n11	0
s164	n	n11	5
s164	c	n12	0
s164	n	n12	5
s164	c	n13	0
s164	n	n13	5
s164	c	n14	0
s164	n	n14	5
s164	c	n15	0
s164	n	n15	5
s165	c	n08	0
s165	n	n08	82
s165	c	n09	0
s165	n	n09	82
s165	c	n10	0
s165	n	n10	82
s165	c	n11	0
s165	n	n11	82
s165	c	n12	0
s165	n	n12	82
s165	c	n13	0
s165	n	n13	82
s165	c	n14	0
s165	n	n14	82
s165	c	n15	0
s165	n	n15	82
s167	c	n14	0
s167	n	n14	8
s167	c	n15	0
s167	n	n15	8
s169	c	n06	0
s169	n	n06	8
s169	c	n07	0
s169	n	n07	8
s169	c	n08	0
s169	n	n08	8
s169	c	n09	0
s169	n	n09	8
s169	c	n10	0
s169	n	n10	8
s169	c	n11	0
s169	n	n11	8
s169	c	n12	0
s169	n	n12	8
s169	c	n13	0
s169	n	n13	8
s169	c	n14	0
s169	n	n14	8
s169	c	n15	0
s169	n	n15	8
s169	c	n16	0
s169	n	n16	8
s170	c	n06	0
s170	n	n06	152
s170	c	n07	0
s170	n	n07	152
s170	c	n08	0
s170	n	n08	152
s170	c	n09	0
s170	n	n09	152
s170	c	n10	0
s170	n	n10	152
s170	c	n11	0
s170	n	n11	152
s170	c	n12	0
s170	n	n12	152
s170	c	n13	0
s170	n	n13	152
s170	c	n14	0
s170	n	n14	152
s170	c	n15	0
s170	n	n15	152
s170	c	n16	0
s170	n	n16	152
s170	c	n17	0
s170	n	n17	152
s170	c	n18	0
s170	n	n18	152
s170	c	n19	0
s170	n	n19	152
s170	c	n20	0
s170	n	n20	152
s170	c	n21	0
s170	n	n21	152
s171	c	n04	0
s171	n	n04	5
s171	c	n05	0
s171	n	n05	5
s171	c	n06	0
s171	n	n06	5
s171	c	n07	0
s171	n	n07	5
s171	c	n08	0
s171	n	n08	5
s171	c	n09	0
s171	n	n09	5
s171	c	n10	0
s171	n	n10	5
s171	c	n11	0
s171	n	n11	5
s171	c	n12	0
s171	n	n12	5
s171	c	n13	0
s171	n	n13	5
s171	c	n14	0
s171	n	n14	5
s171	c	n15	0
s171	n	n15	5
s171	c	n16	0
s171	n	n16	5
s171	c	n17	0
s171	n	n17	5
s171	c	n18	0
s171	n	n18	5
s171	c	n19	0
s171	n	n19	5
s171	c	n20	0
s171	n	n20	5
s171	c	n21	0
s171	n	n21	5
s171	c	n25	0
s171	n	n25	5
s173	c	n06	0
s173	n	n06	6
s173	c	n07	0
s173	n	n07	6
s173	c	n08	0
s173	n	n08	6
s173	c	n09	0
s173	n	n09	6
s173	c	n10	0
s173	n	n10	6
s173	c	n11	0
s173	n	n11	6
s173	c	n12	0
s173	n	n12	6
s173	c	n13	0
s173	n	n13	6
s173	c	n14	0
s173	n	n14	6
s173	c	n15	0
s173	n	n15	6
s173	c	n16	0
s173	n	n16	6
s173	c	n17	0
s173	n	n17	6
s173	c	n18	0
s173	n	n18	6
s173	c	n19	0
s173	n	n19	6
s173	c	n20	0
s173	n	n20	6
s173	c	n21	0
s173	n	n21	6
s173	c	n25	0
s173	n	n25	6
s174	c	n06	0
s174	n	n06	61
s174	c	n07	0
s174	n	n07	61
s174	c	n08	0
s174	n	n08	61
s174	c	n09	0
s174	n	n09	61
s174	c	n10	0
s174	n	n10	61
s174	c	n11	0
s174	n	n11	61
s174	c	n12	0
s174	n	n12	61
s174	c	n13	0
s174	n	n13	61
s174	c	n14	0
s174	n	n14	61
s174	c	n15	0
s174	n	n15	61
s175	c	n04	0
s175	n	n04	3
s175	c	n05	0
s175	n	n05	3
s175	c	n06	0
s175	n	n06	3
s175	c	n07	0
s175	n	n07	3
s175	c	n08	0
s175	n	n08	3
s175	c	n09	0
s175	n	n09	3
s175	c	n10	0
s175	n	n10	3
s175	c	n11	0
s175	n	n11	3
s175	c	n12	0
s175	n	n12	3
s175	c	n13	0
s175	n	n13	3
s175	c	n14	0
s175	n	n14	3
s175	c	n15	0
s175	n	n15	3
s175	c	n16	0
s175	n	n16	3
s176	c	n14	0
s176	n	n14	4
s176	c	n15	0
s176	n	n15	4
s176	c	n16	0
s176	n	n16	4
s179	c	n11	0
s179	n	n11	129
s179	c	n12	0
s179	n	n12	129
s179	c	n13	0
s179	n	n13	129
s179	c	n14	0
s179	n	n14	129
s179	c	n15	0
s179	n	n15	129
s179	c	n16	0
s179	n	n16	129
s179	c	n17	0
s179	n	n17	129
s181	c	n13	0
