stagingArea	sender	vehicleType	c_ijv
a1	s162	v20	157
a1	s164	v00	54
a1	s164	v20	105
a1	s165	v00	308
a1	s165	v20	597
a1	s167	v00	119
a1	s167	v20	231
a1	s169	v00	131
a1	s169	v20	255
a1	s170	v00	112
a1	s170	v20	217
a1	s171	v00	208
a1	s171	v20	402
a1	s173	v00	244
a1	s173	v20	473
a1	s174	v00	83
a1	s174	v20	160
a1	s175	v00	53
a1	s175	v20	103
a1	s176	v00	77
a1	s176	v20	149
a1	s179	v00	109
a1	s179	v20	210
a1	s181	v00	344
a1	s181	v20	666
a1	s182	v00	351
a1	s182	v20	679
a1	s183	v00	89
a1	s183	v20	172
a1	s184	v00	198
a1	s184	v20	383
a1	s186	v00	77
a1	s186	v20	149
a1	s187	v00	218
a1	s187	v20	421
a1	s188	v00	176
a1	s188	v20	341
a1	s189	v00	121
a1	s189	v20	234
a1	s190	v00	201
a1	s190	v20	389
a1	s192	v00	116
a1	s192	v20	225
a1	s195	v00	205
a1	s195	v20	397
a1	s196	v00	130
a1	s196	v20	253
a1	s204	v00	32
a1	s204	v20	63
a1	s205	v00	168
a1	s205	v20	325
a1	s207	v00	31
a1	s207	v20	60
a1	s209	v00	65
a1	s209	v20	126
a1	s210	v00	374
a1	s210	v20	723
a1	s213	v00	892
a1	s213	v20	1725
a1	s214	v00	892
a1	s214	v20	1725
a1	s215	v00	415
a1	s215	v20	804
a1	s216	v00	418
a1	s216	v20	809
a1	s217	v00	665
a1	s217	v20	1286
a1	s218	v00	463
a1	s218	v20	897
a1	s219	v00	665
a1	s219	v20	1286
a1	s220	v00	471
a1	s220	v20	910
a1	s221	v00	437
a1	s221	v20	845
a1	s222	v00	470
a1	s222	v20	910
a1	s223	v00	584
a1	s223	v20	1130
a1	s224	v00	470
a1	s224	v20	910
a1	s225	v00	437
a1	s225	v20	845
a1	s226	v00	452
a1	s226	v20	875
a1	s227	v00	416
a1	s227	v20	804
a1	s228	v00	474
a1	s228	v20	917
a1	s229	v00	470
a1	s229	v20	909
a1	s230	v00	665
a1	s230	v20	1286
a1	s231	v00	455
a1	s231	v20	879
a1	s232	v00	724
a1	s232	v20	1399
a1	s233	v00	740
a1	s233	v20	1431
a1	s234	v00	719
a1	s234	v20	1391
a1	s238	v00	519
a1	s238	v20	1004
a1	s244	v00	711
a1	s244	v20	1375
a1	s247	v00	167
a1	s247	v20	324
a1	s249	v00	711
a1	s249	v20	1376
a1	s252	v00	177
a1	s252	v20	343
a1	s254	v00	152
a1	s254	v20	295
a1	s256	v00	678
a1	s256	v20	1312
a1	s257	v00	215
a1	s257	v20	417
a1	s264	v00	483
a1	s264	v20	934
a1	s266	v00	145
a1	s266	v20	280
a1	s268	v00	329
a1	s268	v20	636
a1	s271	v00	392
a1	s271	v20	757
a1	s272	v00	495
a1	s272	v20	958
a1	s278	v00	673
a1	s278	v20	1301
a1	s289	v00	689
a1	s289	v20	1332
a1	s291	v00	690
a1	s291	v20	1334
a1	s293	v00	681
a1	s293	v20	1318
a1	s296	v00	690
a1	s296	v20	1334
a1	s302	v00	343
a1	s302	v20	664
a1	s303	v00	343
a1	s303	v20	663
a1	s305	v00	1315
a1	s305	v20	2544
a1	s306	v00	1390
a1	s306	v20	2687
a1	s307	v00	1335
a1	s307	v20	2581
a1	s308	v00	1330
a1	s308	v20	2573
a1	s309	v00	1257
a1	s309	v20	2430
a1	s310	v00	1203
a1	s310	v20	2327
a1	s311	v00	1311
a1	s311	v20	2536
a1	s312	v00	1391
a1	s312	v20	2689
a1	s313	v00	683
a1	s313	v20	1321
a2	s001	v00	639
a2	s001	v20	1235
a2	s002	v00	629
a2	s002	v20	1216
a2	s003	v00	571
a2	s003	v20	1104
a2	s004	v00	623
a2	s004	v20	1205
a2	s005	v00	694
a2	s005	v20	1343
a2	s006	v00	623
a2	s006	v20	1206
a2	s007	v00	678
a2	s007	v20	1312
a2	s008	v00	643
a2	s008	v20	1243
a2	s010	v00	594
a2	s010	v20	1149
a2	s013	v00	736
a2	s013	v20	1424
a2	s015	v00	213
a2	s015	v20	413
a2	s018	v00	491
a2	s018	v20	949
a2	s019	v00	732
a2	s019	v20	1415
a2	s020	v00	495
a2	s020	v20	957
a2	s021	v00	226
a2	s021	v20	438
a2	s022	v00	503
a2	s022	v20	973
a2	s024	v00	485
a2	s024	v20	937
a2	s025	v00	388
a2	s025	v20	751
a2	s026	v00	499
a2	s026	v20	965
a2	s027	v00	522
a2	s027	v20	1009
a2	s029	v00	492
a2	s029	v20	951
a2	s030	v00	506
a2	s030	v20	978
a2	s031	v00	498
a2	s031	v20	964
a2	s032	v00	729
a2	s032	v20	1409
a2	s034	v00	726
a2	s034	v20	1405
a2	s035	v00	514
a2	s035	v20	994
a2	s036	v00	460
a2	s036	v20	889
a2	s039	v00	24
a2	s039	v20	47
a2	s040	v00	53
a2	s040	v20	103
a2	s043	v00	632
a2	s043	v20	1222
a2	s044	v00	1201
a2	s044	v20	2323
a2	s049	v00	1093
a2	s049	v20	2114
a2	s051	v00	1095
a2	s051	v20	2117
a2	s053	v00	1344
