,ID,NID,LATITUDE,LONGITUDE,TYPE,BEDS,CATEGORY0,HUC6,HAND,DEM,CATCHID,ZONE,CATEGORY,25-1,25-2,25-3,25-4,25-5,25-6,25-7,25-8,25-9,25-10,25-11,25-12,25-13,25-14,25-15,25-16,25-17,25-18,25-19,25-20,25-21,25-22,25-23,25-24,25-25,geometry
122,169177385,h123,30.20559469,-95.45380015,HOSPITAL,139,RECEIVER,120401,2.721039534,38.11307144,1468284,none,SENDER,1.62743234,1.62743234,1.62743234,1.62743234,1.62743234,2.181858404,2.181858404,3.479514415,3.544661229,3.626051011,3.900345225,3.901799417,3.936694959,4.008540991,4.033201924,4.145495251,4.014946815,3.939942147,3.535065921,3.431003853,3.17926102,2.773906289,2.787778018,3.145150019,3.134775879,POINT (-95.45380015000001 30.20559469)
123,169277384,h124,30.2005193,-95.45757397,HOSPITAL,60,SENDER,120401,4.828564644,40.19597626,1468284,none,RECEIVER,1.62743234,1.62743234,1.62743234,1.62743234,1.62743234,2.181858404,2.181858404,3.479514415,3.544661229,3.626051011,3.900345225,3.901799417,3.936694959,4.008540991,4.033201924,4.145495251,4.014946815,3.939942147,3.535065921,3.431003853,3.17926102,2.773906289,2.787778018,3.145150019,3.134775879,POINT (-95.45757397 30.2005193)
124,12278411,h125,30.28457402,-95.48004261,HOSPITAL,30,SENDER,120401,2.047979116,43.10112,1468028,none,RECEIVER,0.610739009,0.610739009,0.610739009,0.610739009,0.610739009,0.610739009,0.610739009,0.852735542,0.999963703,1.09487745,1.287943347,1.281791387,1.273807293,1.297186233,1.338471197,1.297067721,1.114512348,1.072143328,0.923850542,0.797355566,0.65995189,0.610739009,0.610739009,0.939717065,0.831421901,POINT (-95.48004261 30.28457402)
125,52177384,h126,30.20570177,-95.45813314,HOSPITAL,227,RECEIVER,120401,4.81397295,40.18138504,1468284,none,RECEIVER,1.62743234,1.62743234,1.62743234,1.62743234,1.62743234,2.181858404,2.181858404,3.479514415,3.544661229,3.626051011,3.900345225,3.901799417,3.936694959,4.008540991,4.033201924,4.145495251,4.014946815,3.939942147,3.535065921,3.431003853,3.17926102,2.773906289,2.787778018,3.145150019,3.134775879,POINT (-95.45813314 30.20570177)
126,52277384,h127,30.20329534,-95.45738652,HOSPITAL,30,SENDER,120401,4.414204597,39.78161621,1468284,none,RECEIVER,1.62743234,1.62743234,1.62743234,1.62743234,1.62743234,2.181858404,2.181858404,3.479514415,3.544661229,3.626051011,3.900345225,3.901799417,3.936694959,4.008540991,4.033201924,4.145495251,4.014946815,3.939942147,3.535065921,3.431003853,3.17926102,2.773906289,2.787778018,3.145150019,3.134775879,POINT (-95.45738652 30.20329534)
127,48777384,h128,30.18874977,-95.46018014,HOSPITAL,54,SENDER,120401,2.122447968,43.62716675,1468078,none,RECEIVER,0.283724629,0.283724629,0.283724629,0.283724629,0.283724629,0.283724629,0.283724629,0.427991722,0.407968475,0.406885485,0.480433776,0.515308164,0.479557429,0.525469868,0.538358655,0.617795675,0.545244239,0.527144128,0.411351687,0.376738242,0.344381278,0.283724629,0.283724629,0.315958071,0.305669667,POINT (-95.46018014000001 30.18874977)
128,48877384,h129,30.18993839,-95.45850831,HOSPITAL,60,SENDER,120401,1.652957916,43.16291046,1468078,none,RECEIVER,0.283724629,0.283724629,0.283724629,0.283724629,0.283724629,0.283724629,0.283724629,0.427991722,0.407968475,0.406885485,0.480433776,0.515308164,0.479557429,0.525469868,0.538358655,0.617795675,0.545244239,0.527144128,0.411351687,0.376738242,0.344381278,0.283724629,0.283724629,0.315958071,0.305669667,POINT (-95.45850831 30.18993839)
129,79277386,h130,30.13090069,-95.44302258,HOSPITAL,6,SENDER,120401,15.67569828,37.34327698,1508041,none,SENDER,1.800526215,1.80031893,1.80031893,1.941995538,1.959248204,6.939276553,6.939276553,12.82734663,13.18747377,13.52502757,14.46195298,14.28046754,14.82344465,15.61723736,15.89833988,17.53363841,16.64368935,16.29576896,14.86835535,14.28980278,13.29729066,17.32277416,17.34003792,17.22556529,14.64579253,POINT (-95.44302258 30.13090069)
130,11976208,h131,30.28203591,-95.46559063,HOSPITAL,41,SENDER,120401,11.47129059,50.55593109,1468028,none,RECEIVER,0.610739009,0.610739009,0.610739009,0.610739009,0.610739009,0.610739009,0.610739009,0.852735542,0.999963703,1.09487745,1.287943347,1.281791387,1.273807293,1.297186233,1.338471197,1.297067721,1.114512348,1.072143328,0.923850542,0.797355566,0.65995189,0.610739009,0.610739009,0.939717065,0.831421901,POINT (-95.46559062999999 30.28203591)
131,12177304,h132,30.18560374,-95.45446695,HOSPITAL,84,SENDER,120401,4.110630035,42.46233368,1468078,none,RECEIVER,0.283724629,0.283724629,0.283724629,0.283724629,0.283724629,0.283724629,0.283724629,0.427991722,0.407968475,0.406885485,0.480433776,0.515308164,0.479557429,0.525469868,0.538358655,0.617795675,0.545244239,0.527144128,0.411351687,0.376738242,0.344381278,0.283724629,0.283724629,0.315958071,0.305669667,POINT (-95.45446695 30.18560374)
132,30377338,h133,30.69854999,-95.55898695,HOSPITAL,123,RECEIVER,120401,22.88873291,138.0948792,1465638,none,RECEIVER,0.502605736,0.502605736,0.502605736,0.502605736,0.502605736,0.502605736,0.502605736,0.502605736,0.502605736,0.502605736,0.517878055,0.511662506,0.619596562,0.658162886,0.661128089,0.741253971,0.537796892,0.502605736,0.502605736,0.502605736,0.502605736,0.502605736,0.502605736,0.543085561,0.783853843,POINT (-95.55898695 30.69854999)
133,56877488,h134,29.32856983,-96.11750464,HOSPITAL,161,,120903,13.40525341,33.385952,1611678,none,RECEIVER,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,0.036380889,POINT (-96.11750464000001 29.32856983)
134,17777437,h135,29.21849962,-96.29118958,HOSPITAL,49,SENDER,121004,2.476532221,35.14080048,9354310,none,RECEIVER,0.794053409,0.794053409,0.794053409,0.794053409,0.794053409,0.794053409,0.794053409,0.794053409,0.794053409,0.794053409,0.9572518,0.953876142,0.978641839,0.961391521,0.948350586,0.794053409,0.794053409,0.794053409,0.794053409,0.794053409,0.794053409,0.989026713,0.997611482,0.930589658,0.794053409,POINT (-96.29118957999999 29.21849962)
135,1177515,h136,29.1838554,-95.40543329,HOSPITAL,64,SENDER,120402,2.03318119,7.690995693,1574232,B,SENDER,0.115986117,0.115986117,0.411631188,0.669272049,0.675364326,0.900414554,0.900414554,1.005125418,0.997028243,0.992862306,0.728316413,0.724291747,0.620846654,0.353815672,0.323377011,0.252424991,0.115986117,0.115986117,0.115986117,0.115986117,0.115986117,0.115986117,0.115986117,0.115986117,0.115986117,POINT (-95.40543329 29.1838554)
136,72477584,h137,29.56350045,-95.38867972,HOSPITAL,64,SENDER,120402,2.309144258,17.34775352,1562460,C,SENDER,0.678143314,0.678143314,0.678143314,0.678143314,0.755703865,1.536212369,1.536212369,1.85683254,1.906835616,1.97851266,1.975220176,1.975141409,1.904972406,1.744523551,1.68923154,1.034323459,0.678143314,0.678143314,0.678143314,0.678143314,0.678143314,0.678143314,0.678143314,0.678143314,0.678143314,POINT (-95.38867972 29.56350045)
137,72577584,h138,29.57779212,-95.39019752,HOSPITAL,34,SENDER,120402,8.668018341,16.84833908,1562426,C,SENDER,3.922633933,3.922633933,3.922633933,7.100677767,7.193382361,9.54980551,9.54980551,9.83846018,9.93263216,10.03114308,10.09757805,10.08740476,10.03410825,9.860181262,9.79889779,9.279726697,8.773331985,8.715172524,8.553538861,8.521408427,4.965804199,3.922633933,3.922633933,3.922633933,3.922633933,POINT (-95.39019752 29.57779212)
138,50177480,h139,29.04783467,-95.69183141,HOSPITAL,20,SENDER,120904,7.735172749,7.752863407,1607606,C,SENDER,2.054103486,3.65999629,6.156957794,6.538825485,6.552699223,6.705878857,6.705878857,6.871968985,6.939413323,7.020218202,7.089092471,7.075838332,7.141910606,7.148854556,7.129063313,6.688959955,6.284624008,6.289364904,6.301991186,6.233197104,5.690520207,3.993579157,4.883383771,8.00071033,2.532696329,POINT (-95.69183141000001 29.04783467)
