variable,staging,sender,vehicle,patient,scenario,value
x_ij,a1,s015,v00,c,n18,5.0
x_ij,a1,s015,v00,c,n19,5.0
x_ij,a1,s015,v00,c,n20,5.0
x_ij,a1,s015,v00,c,n21,5.0
x_ij,a1,s015,v00,c,n22,5.0
x_ij,a1,s015,v00,c,n23,5.0
x_ij,a1,s015,v00,c,n24,5.0
x_ij,a1,s015,v00,c,n25,5.0
x_ij,a1,s015,v00,n,n08,28.0
x_ij,a1,s015,v00,n,n09,28.0
x_ij,a1,s015,v00,n,n10,28.0
x_ij,a1,s015,v00,n,n11,28.0
x_ij,a1,s015,v00,n,n12,28.0
x_ij,a1,s015,v00,n,n13,28.0
x_ij,a1,s015,v00,n,n14,28.0
x_ij,a1,s015,v00,n,n15,28.0
x_ij,a1,s015,v00,n,n16,28.0
x_ij,a1,s015,v00,n,n17,28.0
x_ij,a1,s015,v00,n,n18,28.0
x_ij,a1,s015,v00,n,n19,28.0
x_ij,a1,s015,v00,n,n20,28.0
x_ij,a1,s015,v00,n,n21,28.0
x_ij,a1,s015,v00,n,n22,28.0
x_ij,a1,s015,v00,n,n23,28.0
x_ij,a1,s015,v00,n,n24,28.0
x_ij,a1,s015,v00,n,n25,28.0
x_ij,a1,s018,v00,c,n06,11.0
x_ij,a1,s018,v00,c,n07,11.0
x_ij,a1,s018,v00,c,n08,11.0
x_ij,a1,s018,v00,c,n09,11.0
x_ij,a1,s018,v00,c,n10,11.0
x_ij,a1,s018,v00,c,n11,11.0
x_ij,a1,s018,v00,c,n12,11.0
x_ij,a1,s018,v00,c,n13,11.0
x_ij,a1,s018,v00,c,n14,11.0
x_ij,a1,s018,v00,c,n15,11.0
x_ij,a1,s018,v00,n,n06,66.0
x_ij,a1,s018,v00,n,n07,66.0
x_ij,a1,s018,v00,n,n08,66.0
x_ij,a1,s018,v00,n,n09,66.0
x_ij,a1,s018,v00,n,n10,66.0
x_ij,a1,s018,v00,n,n11,66.0
x_ij,a1,s018,v00,n,n12,66.0
x_ij,a1,s018,v00,n,n13,66.0
x_ij,a1,s018,v00,n,n14,66.0
x_ij,a1,s018,v00,n,n15,66.0
x_ij,a1,s019,v00,c,n11,7.0
x_ij,a1,s019,v00,c,n12,7.0
x_ij,a1,s019,v00,c,n13,7.0
x_ij,a1,s019,v00,n,n11,42.0
x_ij,a1,s019,v00,n,n12,42.0
x_ij,a1,s019,v00,n,n13,42.0
x_ij,a1,s020,v00,c,n06,13.0
x_ij,a1,s020,v00,c,n07,13.0
x_ij,a1,s020,v00,c,n08,13.0
x_ij,a1,s020,v00,c,n09,13.0
x_ij,a1,s020,v00,c,n10,13.0
x_ij,a1,s020,v00,c,n11,13.0
x_ij,a1,s020,v00,c,n12,13.0
x_ij,a1,s020,v00,c,n13,13.0
x_ij,a1,s020,v00,c,n14,13.0
x_ij,a1,s020,v00,c,n15,13.0
x_ij,a1,s020,v00,c,n16,13.0
x_ij,a1,s020,v00,n,n06,76.0
x_ij,a1,s020,v00,n,n07,76.0
x_ij,a1,s020,v00,n,n08,76.0
x_ij,a1,s020,v00,n,n09,76.0
x_ij,a1,s020,v00,n,n10,76.0
x_ij,a1,s020,v00,n,n11,76.0
x_ij,a1,s020,v00,n,n12,76.0
x_ij,a1,s020,v00,n,n13,76.0
x_ij,a1,s020,v00,n,n14,76.0
x_ij,a1,s020,v00,n,n15,76.0
x_ij,a1,s020,v00,n,n16,76.0
x_ij,a1,s021,v00,c,n16,5.0
x_ij,a1,s021,v00,c,n17,5.0
x_ij,a1,s021,v00,c,n18,5.0
x_ij,a1,s021,v00,n,n16,34.0
x_ij,a1,s021,v00,n,n17,34.0
x_ij,a1,s021,v00,n,n18,34.0
x_ij,a1,s022,v00,c,n06,4.0
x_ij,a1,s022,v00,c,n07,4.0
x_ij,a1,s022,v00,c,n08,4.0
x_ij,a1,s022,v00,c,n09,4.0
x_ij,a1,s022,v00,c,n10,4.0
x_ij,a1,s022,v00,c,n11,4.0
x_ij,a1,s022,v00,c,n12,4.0
x_ij,a1,s022,v00,c,n13,4.0
x_ij,a1,s022,v00,c,n14,4.0
x_ij,a1,s022,v00,c,n15,4.0
x_ij,a1,s022,v00,c,n16,4.0
x_ij,a1,s022,v00,n,n06,28.0
x_ij,a1,s022,v00,n,n07,28.0
x_ij,a1,s022,v00,n,n08,28.0
x_ij,a1,s022,v00,n,n09,28.0
x_ij,a1,s022,v00,n,n10,28.0
x_ij,a1,s022,v00,n,n11,28.0
x_ij,a1,s022,v00,n,n12,28.0
x_ij,a1,s022,v00,n,n13,28.0
x_ij,a1,s022,v00,n,n14,28.0
x_ij,a1,s022,v00,n,n15,28.0
x_ij,a1,s022,v00,n,n16,28.0
x_ij,a1,s024,v00,n,n04,2.0
x_ij,a1,s024,v00,n,n05,2.0
x_ij,a1,s024,v00,n,n06,2.0
x_ij,a1,s024,v00,n,n07,2.0
x_ij,a1,s024,v00,n,n08,2.0
x_ij,a1,s024,v00,n,n09,2.0
x_ij,a1,s024,v00,n,n10,2.0
x_ij,a1,s024,v00,n,n11,2.0
x_ij,a1,s024,v00,n,n12,2.0
x_ij,a1,s024,v00,n,n13,2.0
x_ij,a1,s024,v00,n,n14,2.0
x_ij,a1,s024,v00,n,n15,2.0
x_ij,a1,s024,v00,n,n16,2.0
x_ij,a1,s024,v00,n,n17,2.0
x_ij,a1,s024,v00,n,n18,2.0
x_ij,a1,s024,v00,n,n19,2.0
x_ij,a1,s024,v00,n,n20,2.0
x_ij,a1,s024,v00,n,n21,2.0
x_ij,a1,s024,v00,n,n25,2.0
x_ij,a1,s025,v00,c,n08,6.0
x_ij,a1,s025,v00,c,n09,6.0
x_ij,a1,s025,v00,c,n10,6.0
x_ij,a1,s025,v00,c,n11,6.0
x_ij,a1,s025,v00,c,n12,6.0
x_ij,a1,s025,v00,c,n13,6.0
x_ij,a1,s025,v00,c,n14,6.0
x_ij,a1,s025,v00,c,n15,6.0
