,staging,sender,receiver,staging1,vehicleType,patientType,scenario,value
132,a1,s306,r436,a1,v00,n,n04,69
133,a1,s306,r360,a1,v00,n,n04,12
134,a1,s256,r300,a1,v00,n,n04,56
135,a1,s256,r249,a1,v00,n,n04,24
136,a1,s098,r190,a1,v00,n,n04,48
137,a1,s098,r232,a1,v00,n,n04,28
138,a1,s311,r177,a1,v00,n,n04,52
139,a1,s311,r230,a1,v00,n,n04,22
140,a1,s077,r131,a1,v00,n,n04,40
141,a1,s077,r322,a1,v00,n,n04,33
142,a1,s310,r499,a1,v00,n,n04,48
143,a1,s310,r360,a1,v00,n,n04,7
144,a1,s027,r024,a1,v00,c,n04,5
145,a1,s027,r024,a1,v00,n,n04,34
146,a1,s006,r027,a1,v00,c,n04,5
147,a1,s006,r027,a1,v00,n,n04,28
148,a1,s087,r140,a1,v00,n,n04,29
149,a1,s209,r301,a1,v00,n,n04,17
150,a1,s293,r228,a1,v00,n,n04,10
151,a1,s089,r246,a1,v00,n,n04,8
152,a1,s135,r228,a1,v00,n,n04,8
153,a1,s187,r273,a1,v00,n,n04,8
154,a1,s221,r191,a1,v00,n,n04,8
155,a1,s095,r391,a1,v00,n,n04,6
156,a1,s097,r343,a1,v00,n,n04,6
157,a1,s264,r161,a1,v00,n,n04,6
158,a1,s119,r205,a1,v00,n,n04,5
159,a1,s149,r323,a1,v00,n,n04,5
160,a1,s171,r350,a1,v00,n,n04,5
161,a1,s183,r391,a1,v00,n,n04,5
162,a1,s225,r336,a1,v00,n,n04,5
163,a1,s001,r061,a1,v00,n,n04,4
164,a1,s099,r386,a1,v00,n,n04,4
165,a1,s104,r343,a1,v00,n,n04,4
166,a1,s312,r482,a1,v00,n,n04,4
167,a1,s175,r245,a1,v00,n,n04,3
168,a1,s024,r061,a1,v00,n,n04,2
169,a1,s049,r016,a1,v00,c,n05,38
170,a1,s049,r016,a1,v20,n,n05,10
171,a1,s049,r016,a1,v00,n,n05,11
172,a1,s054,r025,a1,v00,c,n05,23
173,a1,s054,r025,a1,v20,n,n05,6
174,a1,s054,r025,a1,v00,n,n05,9
175,a1,s053,r011,a1,v00,c,n05,22
176,a1,s053,r011,a1,v00,n,n05,128
177,a1,s308,r277,a1,v00,n,n05,98
178,a1,s308,r149,a1,v00,n,n05,29
179,a1,s066,r149,a1,v00,n,n05,50
180,a1,s066,r174,a1,v00,n,n05,52
181,a1,s278,r236,a1,v00,n,n05,64
182,a1,s278,r195,a1,v00,n,n05,38
183,a1,s307,r506,a1,v00,n,n05,69
184,a1,s307,r502,a1,v00,n,n05,33
185,a1,s117,r272,a1,v00,n,n05,51
186,a1,s117,r213,a1,v00,n,n05,39
187,a1,s117,r245,a1,v00,n,n05,10
188,a1,s088,r203,a1,v00,n,n05,60
189,a1,s088,r309,a1,v00,n,n05,27
190,a1,s108,r369,a1,v00,n,n05,27
191,a1,s108,r276,a1,v00,n,n05,39
192,a1,s108,r230,a1,v00,n,n05,15
193,a1,s306,r436,a1,v00,n,n05,69
194,a1,s306,r360,a1,v00,n,n05,12
195,a1,s256,r300,a1,v00,n,n05,56
196,a1,s256,r249,a1,v00,n,n05,24
197,a1,s098,r190,a1,v00,n,n05,48
198,a1,s098,r232,a1,v00,n,n05,28
199,a1,s311,r177,a1,v00,n,n05,52
200,a1,s311,r230,a1,v00,n,n05,22
201,a1,s077,r131,a1,v00,n,n05,40
202,a1,s077,r322,a1,v00,n,n05,33
203,a1,s310,r499,a1,v00,n,n05,48
204,a1,s310,r360,a1,v00,n,n05,7
205,a1,s027,r024,a1,v00,c,n05,5
206,a1,s027,r024,a1,v00,n,n05,34
207,a1,s006,r027,a1,v00,c,n05,5
208,a1,s006,r027,a1,v00,n,n05,28
209,a1,s087,r140,a1,v00,n,n05,29
210,a1,s209,r301,a1,v00,n,n05,17
211,a1,s293,r228,a1,v00,n,n05,10
212,a1,s089,r246,a1,v00,n,n05,8
213,a1,s135,r228,a1,v00,n,n05,8
214,a1,s187,r273,a1,v00,n,n05,8
215,a1,s221,r191,a1,v00,n,n05,8
216,a1,s095,r391,a1,v00,n,n05,6
217,a1,s097,r343,a1,v00,n,n05,6
218,a1,s264,r161,a1,v00,n,n05,6
219,a1,s119,r205,a1,v00,n,n05,5
220,a1,s149,r323,a1,v00,n,n05,5
221,a1,s171,r350,a1,v00,n,n05,5
222,a1,s183,r391,a1,v00,n,n05,5
223,a1,s225,r336,a1,v00,n,n05,5
224,a1,s001,r061,a1,v00,n,n05,4
225,a1,s099,r386,a1,v00,n,n05,4
226,a1,s104,r343,a1,v00,n,n05,4
227,a1,s312,r482,a1,v00,n,n05,4
228,a1,s175,r245,a1,v00,n,n05,3
229,a1,s024,r061,a1,v00,n,n05,2
230,a1,s049,r016,a1,v00,c,n06,38
231,a1,s049,r016,a1,v20,n,n06,10
232,a1,s049,r016,a1,v00,n,n06,11
233,a1,s054,r025,a1,v00,c,n06,23
234,a1,s054,r025,a1,v20,n,n06,6
235,a1,s054,r025,a1,v00,n,n06,9
236,a1,s170,r277,a1,v00,n,n06,98
237,a1,s170,r195,a1,v00,n,n06,54
238,a1,s053,r011,a1,v00,c,n06,22
239,a1,s053,r011,a1,v00,n,n06,128
240,a1,s120,r272,a1,v00,n,n06,51
241,a1,s120,r301,a1,v00,n,n06,20
242,a1,s120,r213,a1,v00,n,n06,39
243,a1,s120,r149,a1,v00,n,n06,17
244,a1,s196,r236,a1,v00,n,n06,64
245,a1,s196,r190,a1,v00,n,n06,48
246,a1,s196,r230,a1,v00,n,n06,15
247,a1,s308,r506,a1,v00,n,n06,69
248,a1,s308,r502,a1,v00,n,n06,58
249,a1,s139,r203,a1,v00,n,n06,60
250,a1,s139,r300,a1,v00,n,n06,56
251,a1,s139,r360,a1,v00,n,n06,6
252,a1,s096,r276,a1,v00,n,n06,39
253,a1,s096,r343,a1,v00,n,n06,26
254,a1,s096,r232,a1,v00,n,n06,45
255,a1,s096,r245,a1,v00,n,n06,8
256,a1,s066,r149,a1,v00,n,n06,62
257,a1,s066,r174,a1,v00,n,n06,40
258,a1,s072,r249,a1,v00,n,n06,52
259,a1,s072,r309,a1,v00,n,n06,50
260,a1,s278,r177,a1,v00,n,n06,52
261,a1,s278,r360,a1,v00,n,n06,50
262,a1,s307,r436,a1,v00,n,n06,69
263,a1,s307,r230,a1,v00,n,n06,33
264,a1,s117,r391,a1,v00,n,n06,39
265,a1,s117,r245,a1,v00,n,n06,35
266,a1,s117,r322,a1,v00,n,n06,26
267,a1,s252,r228,a1,v00,n,n06,44
268,a1,s252,r369,a1,v00,n,n06,27
269,a1,s252,r131,a1,v00,n,n06,22
270,a1,s020,r024,a1,v00,c,n06,13
271,a1,s020,r024,a1,v00,n,n06,76
272,a1,s088,r161,a1,v00,n,n06,39
273,a1,s088,r246,a1,v00,n,n06,44
274,a1,s088,r302,a1,v00,n,n06,4
275,a1,s204,r229,a1,v00,n,n06,30
276,a1,s204,r361,a1,v00,n,n06,8
277,a1,s204,r273,a1,v00,n,n06,38
278,a1,s204,r367,a1,v00,n,n06,9
279,a1,s106,r185,a1,v00,n,n06,36
280,a1,s106,r302,a1,v00,n,n06,36
281,a1,s106,r371,a1,v00,n,n06,12
282,a1,s108,r323,a1,v00,n,n06,39
283,a1,s108,r205,a1,v00,n,n06,34
284,a1,s108,r386,a1,v00,n,n06,8
285,a1,s132,r350,a1,v00,n,n06,41
286,a1,s132,r237,a1,v00,n,n06,40
287,a1,s144,r235,a1,v00,n,n06,15
288,a1,s144,r329,a1,v00,n,n06,18
289,a1,s144,r178,a1,v00,n,n06,23
290,a1,s144,r308,a1,v00,n,n06,8
291,a1,s144,r290,a1,v00,n,n06,17
292,a1,s306,r499,a1,v00,n,n06,48
293,a1,s306,r482,a1,v00,n,n06,33
294,a1,s256,r140,a1,v00,n,n06,46
295,a1,s256,r191,a1,v00,n,n06,34
296,a1,s018,r027,a1,v00,c,n06,11
297,a1,s018,r027,a1,v00,n,n06,66
298,a1,s080,r160,a1,v00,n,n06,30
299,a1,s080,r317,a1,v00,n,n06,42
300,a1,s080,r154,a1,v00,n,n06,4
301,a1,s098,r223,a1,v00,n,n06,40
302,a1,s098,r264,a1,v00,n,n06,36
303,a1,s311,r501,a1,v00,n,n06,45
304,a1,s311,r519,a1,v00,n,n06,29
305,a1,s077,r154,a1,v00,n,n06,34
306,a1,s077,r325,a1,v00,n,n06,39
307,a1,s134,r336,a1,v00,n,n06,43
308,a1,s134,r385,a1,v00,n,n06,28
309,a1,s076,r384,a1,v00,n,n06,23
310,a1,s076,r311,a1,v00,n,n06,40
311,a1,s076,r252,a1,v00,n,n06,2
312,a1,s174,r252,a1,v00,n,n06,21
313,a1,s174,r398,a1,v00,n,n06,15
314,a1,s174,r260,a1,v00,n,n06,16
315,a1,s174,r371,a1,v00,n,n06,9
316,a1,s075,r153,a1,v00,n,n06,20
317,a1,s075,r131,a1,v00,n,n06,18
